"code","area","city","provider","cost","remarks"
"AMI10000","Kota Mataram","Mataram","JNE Reguler",25000,"1 - 2 hari"
"AMI10011","Kota Mataram","Ampenan","JNE Reguler",25000,"1 - 2 hari"
"AMI10012","Kota Mataram","Cakranegara","JNE Reguler",25000,"1 - 2 hari"
"AMI20100","Kota Bima","Bima","JNE Reguler",35000,"2 - 3 hari"
"AMI20111","Kota Bima","Asakota","JNE Reguler",35000,"2 - 3 hari"
"AMI20112","Kota Bima","Rasanae Barat","JNE Reguler",35000,"2 - 3 hari"
"AMI20113","Kota Bima","Rasanae Timur","JNE Reguler",35000,"2 - 3 hari"
"AMI20114","Kota Bima","Raba","JNE Reguler",35000,"2 - 3 hari"
"AMI20115","Kota Bima","Mpunda","JNE Reguler",35000,"2 - 3 hari"
"AMI20200","Kab. Dompu","Dompu","JNE Reguler",35000,"2 - 3 hari"
"AMI20201","Kab. Dompu","Hu'u","JNE Reguler",66000,"+ 10 hari"
"AMI20202","Kab. Dompu","Kempo","JNE Reguler",66000,"+ 10 hari"
"AMI20203","Kab. Dompu","Kilo","JNE Reguler",66000,"+ 10 hari"
"AMI20204","Kab. Dompu","Pajo","JNE Reguler",66000,"+ 10 hari"
"AMI20205","Kab. Dompu","Pekat","JNE Reguler",66000,"+ 10 hari"
"AMI20206","Kab. Dompu","Woja","JNE Reguler",44000,"3 - 6 hari"
"AMI20207","Kab. Dompu","Manggelewa","JNE Reguler",44000,"3 - 6 hari"
"AMI20300","Kab. Lombok Tengah","Praya","JNE Reguler",35000,"2 - 3 hari"
"AMI20301","Kab. Lombok Tengah","Batukliang","JNE Reguler",44000,"3 - 6 hari"
"AMI20302","Kab. Lombok Tengah","Janapria","JNE Reguler",44000,"3 - 6 hari"
"AMI20303","Kab. Lombok Tengah","Jonggat","JNE Reguler",44000,"3 - 6 hari"
"AMI20304","Kab. Lombok Tengah","Kopang","JNE Reguler",44000,"3 - 6 hari"
"AMI20305","Kab. Lombok Tengah","Praya Barat","JNE Reguler",35000,"2 - 3 hari"
"AMI20306","Kab. Lombok Tengah","Praya Timur","JNE Reguler",35000,"2 - 3 hari"
"AMI20307","Kab. Lombok Tengah","Pringgarata","JNE Reguler",44000,"3 - 6 hari"
"AMI20308","Kab. Lombok Tengah","Pujut","JNE Reguler",44000,"3 - 6 hari"
"AMI20310","Kab. Lombok Tengah","Batukliang Utara","JNE Reguler",44000,"3 - 6 hari"
"AMI20311","Kab. Lombok Tengah","Praya Barat Daya","JNE Reguler",35000,"2 - 3 hari"
"AMI20312","Kab. Lombok Tengah","Praya Tengah","JNE Reguler",35000,"2 - 3 hari"
"AMI20400","Kab. Lombok Timur","Selong","JNE Reguler",35000,"2 - 3 hari"
"AMI20401","Kab. Lombok Timur","Aikmel","JNE Reguler",44000,"3 - 6 hari"
"AMI20402","Kab. Lombok Timur","Keruak","JNE Reguler",44000,"3 - 6 hari"
"AMI20403","Kab. Lombok Timur","Mas Bagik","JNE Reguler",44000,"3 - 6 hari"
"AMI20404","Kab. Lombok Timur","Pringgabaya","JNE Reguler",66000,"+ 10 hari"
"AMI20405","Kab. Lombok Timur","Sakra","JNE Reguler",44000,"3 - 6 hari"
"AMI20406","Kab. Lombok Timur","Sambelia","JNE Reguler",66000,"+ 10 hari"
"AMI20407","Kab. Lombok Timur","Sikur","JNE Reguler",44000,"3 - 6 hari"
"AMI20408","Kab. Lombok Timur","Sukamulia","JNE Reguler",44000,"3 - 6 hari"
"AMI20409","Kab. Lombok Timur","Terara","JNE Reguler",44000,"3 - 6 hari"
"AMI20411","Kab. Lombok Timur","Jerowaru","JNE Reguler",44000,"3 - 6 hari"
"AMI20413","Kab. Lombok Timur","Montong Gading","JNE Reguler",44000,"3 - 6 hari"
"AMI20414","Kab. Lombok Timur","Pringgasela","JNE Reguler",44000,"3 - 6 hari"
"AMI20415","Kab. Lombok Timur","Sakra Barat","JNE Reguler",44000,"3 - 6 hari"
"AMI20416","Kab. Lombok Timur","Sakra Timur","JNE Reguler",44000,"3 - 6 hari"
"AMI20417","Kab. Lombok Timur","Sembalun","JNE Reguler",66000,"+ 10 hari"
"AMI20418","Kab. Lombok Timur","Suela","JNE Reguler",44000,"3 - 6 hari"
"AMI20419","Kab. Lombok Timur","Suralaga","JNE Reguler",44000,"3 - 6 hari"
"AMI20420","Kab. Lombok Timur","Wanasaba","JNE Reguler",44000,"3 - 6 hari"
"AMI20421","Kab. Lombok Timur","Labuhan Haji","JNE Reguler",44000,"3 - 6 hari"
"AMI20500","Kab. Sumbawa","Sumbawa Besar","JNE Reguler",35000,"2 - 3 hari"
"AMI20501","Kab. Sumbawa","Alas","JNE Reguler",44000,"3 - 6 hari"
"AMI20502","Kab. Sumbawa","Batu Lanteh","JNE Reguler",66000,"+ 10 hari"
"AMI20503","Kab. Sumbawa","Empang","JNE Reguler",44000,"3 - 6 hari"
"AMI20505","Kab. Sumbawa","Lape-Lopok","JNE Reguler",44000,"3 - 6 hari"
"AMI20506","Kab. Sumbawa","Lunyuk","JNE Reguler",66000,"+ 10 hari"
"AMI20507","Kab. Sumbawa","Moyohilir","JNE Reguler",44000,"3 - 6 hari"
"AMI20508","Kab. Sumbawa","Moyohulu","JNE Reguler",44000,"3 - 6 hari"
"AMI20509","Kab. Sumbawa","Plampang","JNE Reguler",44000,"3 - 6 hari"
"AMI20510","Kab. Sumbawa","Ropang","JNE Reguler",66000,"+ 10 hari"
"AMI20513","Kab. Sumbawa","Utan-Rhee","JNE Reguler",44000,"3 - 6 hari"
"AMI20514","Kab. Sumbawa","Alas Barat","JNE Reguler",44000,"3 - 6 hari"
"AMI20515","Kab. Sumbawa","Labangka","JNE Reguler",66000,"+ 10 hari"
"AMI20516","Kab. Sumbawa","Labuhan Badas","JNE Reguler",44000,"3 - 6 hari"
"AMI20517","Kab. Sumbawa","Sumbawa","JNE Reguler",35000,"2 - 3 hari"
"AMI20800","Kab. Lombok Barat","Gerung","JNE Reguler",35000,"2 - 3 hari"
"AMI20801","Kab. Lombok Barat","Bayan","JNE Reguler",66000,"+ 10 hari"
"AMI20802","Kab. Lombok Barat","Gangga","JNE Reguler",66000,"+ 10 hari"
"AMI20803","Kab. Lombok Barat","Kediri","JNE Reguler",44000,"3 - 6 hari"
"AMI20804","Kab. Lombok Barat","Labu Api","JNE Reguler",44000,"3 - 6 hari"
"AMI20805","Kab. Lombok Barat","Narmada","JNE Reguler",44000,"3 - 6 hari"
"AMI20806","Kab. Lombok Barat","Sekotong Tengah","JNE Reguler",66000,"+ 10 hari"
"AMI20807","Kab. Lombok Barat","Tanjung","JNE Reguler",44000,"3 - 6 hari"
"AMI20808","Kab. Lombok Barat","Batu Layar","JNE Reguler",44000,"3 - 6 hari"
"AMI20809","Kab. Lombok Barat","Gunung Sari","JNE Reguler",44000,"3 - 6 hari"
"AMI20810","Kab. Lombok Barat","Kayangan","JNE Reguler",66000,"+ 10 hari"
"AMI20811","Kab. Lombok Barat","Kuripan","JNE Reguler",44000,"3 - 6 hari"
"AMI20812","Kab. Lombok Barat","Lembar","JNE Reguler",44000,"3 - 6 hari"
"AMI20813","Kab. Lombok Barat","Lingsar","JNE Reguler",44000,"3 - 6 hari"
"AMI20814","Kab. Lombok Barat","Pemenang","JNE Reguler",66000,"+ 10 hari"
"AMI20900","Kab. Sumbawa Barat","Taliwang","JNE Reguler",35000,"2 - 3 hari"
"AMI20901","Kab. Sumbawa Barat","Jereweh","JNE Reguler",44000,"3 - 6 hari"
"AMI20902","Kab. Sumbawa Barat","Seteluk","JNE Reguler",66000,"+ 10 hari"
"AMI20903","Kab. Sumbawa Barat","Sekongkang","JNE Reguler",44000,"3 - 6 hari"
"AMI20904","Kab. Sumbawa Barat","Brang Rea","JNE Reguler",44000,"3 - 6 hari"
"AMI21100","Kab. Bima","Woha","JNE Reguler",35000,"2 - 3 hari"
"AMI21101","Kab. Bima","Ambalawi","JNE Reguler",66000,"+ 10 hari"
"AMI21102","Kab. Bima","Belo","JNE Reguler",44000,"3 - 6 hari"
"AMI21103","Kab. Bima","Bolo","JNE Reguler",44000,"3 - 6 hari"
"AMI21104","Kab. Bima","Donggo","JNE Reguler",44000,"3 - 6 hari"
"AMI21105","Kab. Bima","Lambu","JNE Reguler",44000,"3 - 6 hari"
"AMI21106","Kab. Bima","Langgudu","JNE Reguler",66000,"+ 10 hari"
"AMI21107","Kab. Bima","Mada Pangga","JNE Reguler",44000,"3 - 6 hari"
"AMI21108","Kab. Bima","Monta","JNE Reguler",44000,"3 - 6 hari"
"AMI21109","Kab. Bima","Sanggar","JNE Reguler",66000,"+ 10 hari"
"AMI21110","Kab. Bima","Sape","JNE Reguler",44000,"3 - 6 hari"
"AMI21111","Kab. Bima","Tambora","JNE Reguler",66000,"+ 10 hari"
"AMI21112","Kab. Bima","Wawo","JNE Reguler",44000,"3 - 6 hari"
"AMI21113","Kab. Bima","Wera","JNE Reguler",44000,"3 - 6 hari"
"AMQ10000","Kota Ambon","Ambon","JNE Reguler",52000,"2 - 3 hari"
"AMQ10005","Kota Ambon","Nusaniwe","JNE Reguler",52000,"2 - 3 hari"
"AMQ10006","Kota Ambon","Sirimau","JNE Reguler",52000,"2 - 3 hari"
"AMQ10007","Kota Ambon","Teluk Ambon Baguala","JNE Reguler",52000,"2 - 3 hari"
"AMQ10008","Kota Ambon","Teluk Ambon","JNE Reguler",52000,"2 - 3 hari"
"AMQ10009","Kota Ambon","Leitimur Selatan","JNE Reguler",52000,"2 - 3 hari"
"AMQ20100","Kab. Maluku Tengah","Kota Masohi","JNE Reguler",85000,"3 - 5 hari"
"AMQ20101","Kab. Maluku Tengah","Banda","JNE Reguler",161000,"+ 10 hari"
"AMQ20107","Kab. Maluku Tengah","Leihitu","JNE Reguler",161000,"+ 10 hari"
"AMQ20108","Kab. Maluku Tengah","Pulau Haruku","JNE Reguler",161000,"+ 10 hari"
"AMQ20110","Kab. Maluku Tengah","Sala Hutu","JNE Reguler",107000,"5 - 7 hari"
"AMQ20113","Kab. Maluku Tengah","Seram Utara","JNE Reguler",161000,"+ 10 hari"
"AMQ20115","Kab. Maluku Tengah","Tehoru","JNE Reguler",161000,"+ 10 hari"
"AMQ20116","Kab. Maluku Tengah","Teon Nila Serua","JNE Reguler",161000,"+ 10 hari"
"AMQ20118","Kab. Maluku Tengah","Amahai","JNE Reguler",161000,"+ 10 hari"
"AMQ20119","Kab. Maluku Tengah","Nusa Laut","JNE Reguler",161000,"+ 10 hari"
"AMQ20121","Kab. Maluku Tengah","Saparua","JNE Reguler",161000,"+ 10 hari"
"AMQ20200","Kab. Maluku Tenggara","Tual","JNE Reguler",85000,"3 - 5 hari"
"AMQ20201","Kab. Maluku Tenggara","Kei Besar","JNE Reguler",161000,"+ 10 hari"
"AMQ20208","Kab. Maluku Tenggara","Kei Besar Selatan","JNE Reguler",161000,"+ 10 hari"
"AMQ20209","Kab. Maluku Tenggara","Kei Besar Utara Timur","JNE Reguler",161000,"+ 10 hari"
"AMQ20210","Kab. Maluku Tenggara","Kei Kecil","JNE Reguler",161000,"+ 10 hari"
"AMQ20211","Kab. Maluku Tenggara","Pulau-Pulau Kur","JNE Reguler",161000,"+ 10 hari"
"AMQ20300","Kab. Buru","Namlea","JNE Reguler",85000,"3 - 5 hari"
"AMQ20301","Kab. Buru","Air Buaya / Buru Utara Barat","JNE Reguler",161000,"+ 10 hari"
"AMQ20302","Kab. Buru","Leksula / Buru Selatan","JNE Reguler",161000,"+ 10 hari"
"AMQ20303","Kab. Buru","Waesama","JNE Reguler",161000,"+ 10 hari"
"AMQ20304","Kab. Buru","Wayapo / Buru Utara Timur","JNE Reguler",161000,"+ 10 hari"
"AMQ20400","Kab. Kepulauan Aru","Dobo","JNE Reguler",161000,"+ 10 hari"
"AMQ20401","Kab. Kepulauan Aru","Pulau-Pulau Aru","JNE Reguler",161000,"+ 10 hari"
"AMQ20402","Kab. Kepulauan Aru","Pulau-Pulau Aru Selatan","JNE Reguler",161000,"+ 10 hari"
"AMQ20403","Kab. Kepulauan Aru","Pulau-Pulau Aru Tengah","JNE Reguler",161000,"+ 10 hari"
"AMQ20600","Kab. Seram Bagian Barat","Piru","JNE Reguler",161000,"+ 10 hari"
"AMQ20601","Kab. Seram Bagian Barat","Kairatu","JNE Reguler",161000,"+ 10 hari"
"AMQ20602","Kab. Seram Bagian Barat","Seram Barat","JNE Reguler",161000,"+ 10 hari"
"AMQ20603","Kab. Seram Bagian Barat","Taniwel","JNE Reguler",161000,"+ 10 hari"
"AMQ20604","Kab. Seram Bagian Barat","Waisala","JNE Reguler",161000,"+ 10 hari"
"AMQ20700","Kab. Seram Bagian Timur","Dataran Hunimoa","JNE Reguler",161000,"+ 10 hari"
"AMQ20701","Kab. Seram Bagian Timur","Bula","JNE Reguler",161000,"+ 10 hari"
"AMQ20702","Kab. Seram Bagian Timur","Pulau-Pulau Gorong","JNE Reguler",161000,"+ 10 hari"
"AMQ20703","Kab. Seram Bagian Timur","Seram Timur","JNE Reguler",161000,"+ 10 hari"
"AMQ20704","Kab. Seram Bagian Timur","Werinama","JNE Reguler",161000,"+ 10 hari"
"AMQ20800","Kab. Maluku Tenggara Barat","Saumlaki","JNE Reguler",85000,"3 - 5 hari"
"AMQ20801","Kab. Maluku Tenggara Barat","Damer","JNE Reguler",161000,"+ 10 hari"
"AMQ20802","Kab. Maluku Tenggara Barat","Kormomolin","JNE Reguler",161000,"+ 10 hari"
"AMQ20803","Kab. Maluku Tenggara Barat","Luser","JNE Reguler",161000,"+ 10 hari"
"AMQ20804","Kab. Maluku Tenggara Barat","Mola","JNE Reguler",161000,"+ 10 hari"
"AMQ20805","Kab. Maluku Tenggara Barat","Nirunmas","JNE Reguler",161000,"+ 10 hari"
"AMQ20806","Kab. Maluku Tenggara Barat","Pulau-Pulau Babar","JNE Reguler",161000,"+ 10 hari"
"AMQ20807","Kab. Maluku Tenggara Barat","Pulau-Pulau Babar Timur","JNE Reguler",161000,"+ 10 hari"
"AMQ20808","Kab. Maluku Tenggara Barat","Pulau-Pulau Letimoa Lakor","JNE Reguler",161000,"+ 10 hari"
"AMQ20809","Kab. Maluku Tenggara Barat","Pulau-Pulau Terselatan","JNE Reguler",161000,"+ 10 hari"
"AMQ20810","Kab. Maluku Tenggara Barat","Pulau-Pulau Wetar","JNE Reguler",161000,"+ 10 hari"
"AMQ20811","Kab. Maluku Tenggara Barat","Selaru","JNE Reguler",161000,"+ 10 hari"
"AMQ20812","Kab. Maluku Tenggara Barat","Tanimbar Selatan","JNE Reguler",161000,"+ 10 hari"
"AMQ20813","Kab. Maluku Tenggara Barat","Tanimbar Utara","JNE Reguler",161000,"+ 10 hari"
"AMQ20814","Kab. Maluku Tenggara Barat","Wer Makatian","JNE Reguler",161000,"+ 10 hari"
"AMQ20815","Kab. Maluku Tenggara Barat","Wertamrian","JNE Reguler",161000,"+ 10 hari"
"AMQ20816","Kab. Maluku Tenggara Barat","Wuarlabobar","JNE Reguler",161000,"+ 10 hari"
"AMQ20817","Kab. Maluku Tenggara Barat","Yaru","JNE Reguler",161000,"+ 10 hari"
"AMQ20818","Kab. Maluku Tenggara Barat","Serwaru","JNE Reguler",161000,"+ 10 hari"
"BDJ10000","Kota Banjarmasin","Banjarmasin","JNE Reguler",30000,"1 - 2 hari"
"BDJ10001","Kota Banjarmasin","Banjarmasin Barat","JNE Reguler",30000,"1 - 2 hari"
"BDJ10002","Kota Banjarmasin","Banjarmasin Selatan","JNE Reguler",30000,"1 - 2 hari"
"BDJ10003","Kota Banjarmasin","Banjarmasin Tengah","JNE Reguler",30000,"1 - 2 hari"
"BDJ10004","Kota Banjarmasin","Banjarmasin Timur","JNE Reguler",30000,"1 - 2 hari"
"BDJ10005","Kota Banjarmasin","Banjarmasin Utara","JNE Reguler",30000,"1 - 2 hari"
"BDJ10100","Kab. Hulu Sungai Tengah","Barabai","JNE Reguler",42000,"3 - 5 hari"
"BDJ10101","Kab. Hulu Sungai Tengah","Batang Alai Selatan","JNE Reguler",53000,"5 - 7 hari"
"BDJ10102","Kab. Hulu Sungai Tengah","Batu Benawa","JNE Reguler",53000,"5 - 7 hari"
"BDJ10103","Kab. Hulu Sungai Tengah","Batang Alai Utara","JNE Reguler",53000,"5 - 7 hari"
"BDJ10104","Kab. Hulu Sungai Tengah","Haruyan","JNE Reguler",53000,"5 - 7 hari"
"BDJ10105","Kab. Hulu Sungai Tengah","Labuan Amas Selatan","JNE Reguler",53000,"5 - 7 hari"
"BDJ10106","Kab. Hulu Sungai Tengah","Labuan Amas Utara","JNE Reguler",53000,"5 - 7 hari"
"BDJ10107","Kab. Hulu Sungai Tengah","Pandawan","JNE Reguler",53000,"5 - 7 hari"
"BDJ10108","Kab. Hulu Sungai Tengah","Batang Alai Tengah","JNE Reguler",53000,"5 - 7 hari"
"BDJ10109","Kab. Hulu Sungai Tengah","Hantakan","JNE Reguler",53000,"5 - 7 hari"
"BDJ10200","Kab. Hulu Sungai Selatan","Kandangan","JNE Reguler",42000,"3 - 5 hari"
"BDJ10201","Kab. Hulu Sungai Selatan","Angkinang","JNE Reguler",53000,"5 - 7 hari"
"BDJ10202","Kab. Hulu Sungai Selatan","Daha Selatan","JNE Reguler",53000,"5 - 7 hari"
"BDJ10203","Kab. Hulu Sungai Selatan","Daha Utara","JNE Reguler",53000,"5 - 7 hari"
"BDJ10204","Kab. Hulu Sungai Selatan","Kalumpang","JNE Reguler",53000,"5 - 7 hari"
"BDJ10205","Kab. Hulu Sungai Selatan","Loksado","JNE Reguler",53000,"5 - 7 hari"
"BDJ10206","Kab. Hulu Sungai Selatan","Padang Batung","JNE Reguler",53000,"5 - 7 hari"
"BDJ10207","Kab. Hulu Sungai Selatan","Simpur","JNE Reguler",53000,"5 - 7 hari"
"BDJ10208","Kab. Hulu Sungai Selatan","Sungai Raya","JNE Reguler",53000,"5 - 7 hari"
"BDJ10209","Kab. Hulu Sungai Selatan","Telaga Langsat","JNE Reguler",53000,"5 - 7 hari"
"BDJ10210","Kab. Hulu Sungai Selatan","Daha Barat","JNE Reguler",53000,"5 - 7 hari"
"BDJ10300","Kab. Kota Baru","Kota Baru","JNE Reguler",42000,"3 - 5 hari"
"BDJ10302","Kab. Kota Baru","Hampang","JNE Reguler",53000,"5 - 7 hari"
"BDJ10303","Kab. Kota Baru","Kelumpang Utara","JNE Reguler",53000,"5 - 7 hari"
"BDJ10304","Kab. Kota Baru","Kelumpang Tengah","JNE Reguler",53000,"5 - 7 hari"
"BDJ10305","Kab. Kota Baru","Kelumpang Hulu","JNE Reguler",53000,"5 - 7 hari"
"BDJ10306","Kab. Kota Baru","Kelumpang Selatan","JNE Reguler",53000,"5 - 7 hari"
"BDJ10309","Kab. Kota Baru","Pamukan Utara","JNE Reguler",53000,"5 - 7 hari"
"BDJ10310","Kab. Kota Baru","Pamukan Selatan","JNE Reguler",53000,"5 - 7 hari"
"BDJ10311","Kab. Kota Baru","Pulau Laut Selatan","JNE Reguler",53000,"5 - 7 hari"
"BDJ10312","Kab. Kota Baru","Pulau Laut Barat","JNE Reguler",53000,"5 - 7 hari"
"BDJ10313","Kab. Kota Baru","Pulau Laut Timur","JNE Reguler",53000,"5 - 7 hari"
"BDJ10314","Kab. Kota Baru","Pulau Sembilan","JNE Reguler",53000,"5 - 7 hari"
"BDJ10315","Kab. Kota Baru","Pulau Sebuku","JNE Reguler",53000,"5 - 7 hari"
"BDJ10316","Kab. Kota Baru","Sampanahan","JNE Reguler",53000,"5 - 7 hari"
"BDJ10318","Kab. Kota Baru","Sungai Durian","JNE Reguler",53000,"5 - 7 hari"
"BDJ10319","Kab. Kota Baru","Pulau Laut Utara","JNE Reguler",53000,"5 - 7 hari"
"BDJ10400","Kab. Tabalong","Tanjung","JNE Reguler",42000,"3 - 5 hari"
"BDJ10401","Kab. Tabalong","Banua Lawas","JNE Reguler",53000,"5 - 7 hari"
"BDJ10402","Kab. Tabalong","Haruai","JNE Reguler",53000,"5 - 7 hari"
"BDJ10403","Kab. Tabalong","Jaro","JNE Reguler",53000,"5 - 7 hari"
"BDJ10404","Kab. Tabalong","Kelua","JNE Reguler",53000,"5 - 7 hari"
"BDJ10405","Kab. Tabalong","Muara Harus","JNE Reguler",53000,"5 - 7 hari"
"BDJ10406","Kab. Tabalong","Muara Uya","JNE Reguler",53000,"5 - 7 hari"
"BDJ10407","Kab. Tabalong","Murung Pudak","JNE Reguler",53000,"5 - 7 hari"
"BDJ10408","Kab. Tabalong","Pugaan","JNE Reguler",53000,"5 - 7 hari"
"BDJ10409","Kab. Tabalong","Tanta","JNE Reguler",53000,"5 - 7 hari"
"BDJ10410","Kab. Tabalong","Upau","JNE Reguler",53000,"5 - 7 hari"
"BDJ10412","Kab. Tabalong","Bintang Ara","JNE Reguler",53000,"5 - 7 hari"
"BDJ10500","Kota Banjarbaru","BanjarBaru","JNE Reguler",30000,"1 - 2 hari"
"BDJ10501","Kota Banjarbaru","Cempaka","JNE Reguler",30000,"1 - 2 hari"
"BDJ10502","Kota Banjarbaru","Landasan Ulin","JNE Reguler",30000,"1 - 2 hari"
"BDJ20100","Kab. Hulu Sungai Utara","Amuntai","JNE Reguler",42000,"3 - 5 hari"
"BDJ20101","Kab. Hulu Sungai Utara","Amuntai Utara","JNE Reguler",42000,"3 - 5 hari"
"BDJ20102","Kab. Hulu Sungai Utara","Amuntai Selatan","JNE Reguler",42000,"3 - 5 hari"
"BDJ20104","Kab. Hulu Sungai Utara","Babirik","JNE Reguler",53000,"5 - 7 hari"
"BDJ20106","Kab. Hulu Sungai Utara","Danau Panggang","JNE Reguler",53000,"5 - 7 hari"
"BDJ20111","Kab. Hulu Sungai Utara","Sungai Pandan","JNE Reguler",53000,"5 - 7 hari"
"BDJ20112","Kab. Hulu Sungai Utara","Amuntai Tengah","JNE Reguler",42000,"3 - 5 hari"
"BDJ20113","Kab. Hulu Sungai Utara","Banjang","JNE Reguler",53000,"5 - 7 hari"
"BDJ20200","Kab. Barito Kuala","Marabahan","JNE Reguler",42000,"3 - 5 hari"
"BDJ20201","Kab. Barito Kuala","Alalak","JNE Reguler",53000,"5 - 7 hari"
"BDJ20202","Kab. Barito Kuala","Anjir Pasar","JNE Reguler",53000,"5 - 7 hari"
"BDJ20203","Kab. Barito Kuala","Anjir Muara","JNE Reguler",53000,"5 - 7 hari"
"BDJ20204","Kab. Barito Kuala","Barambai","JNE Reguler",53000,"5 - 7 hari"
"BDJ20205","Kab. Barito Kuala","Belawang","JNE Reguler",53000,"5 - 7 hari"
"BDJ20206","Kab. Barito Kuala","Cerbon","JNE Reguler",53000,"5 - 7 hari"
"BDJ20207","Kab. Barito Kuala","Kuripan","JNE Reguler",53000,"5 - 7 hari"
"BDJ20208","Kab. Barito Kuala","Mandastana","JNE Reguler",53000,"5 - 7 hari"
"BDJ20209","Kab. Barito Kuala","Mekar Sari","JNE Reguler",53000,"5 - 7 hari"
"BDJ20210","Kab. Barito Kuala","Rantau Badauh","JNE Reguler",53000,"5 - 7 hari"
"BDJ20211","Kab. Barito Kuala","Tabunganen","JNE Reguler",53000,"5 - 7 hari"
"BDJ20212","Kab. Barito Kuala","Tabukan","JNE Reguler",53000,"5 - 7 hari"
"BDJ20213","Kab. Barito Kuala","Tamban","JNE Reguler",53000,"5 - 7 hari"
"BDJ20214","Kab. Barito Kuala","Bakumpai","JNE Reguler",53000,"5 - 7 hari"
"BDJ20215","Kab. Barito Kuala","Wanaraya","JNE Reguler",53000,"5 - 7 hari"
"BDJ20300","Kab. Banjar","Martapura","JNE Reguler",42000,"3 - 5 hari"
"BDJ20301","Kab. Banjar","Aluh Aluh","JNE Reguler",53000,"5 - 7 hari"
"BDJ20302","Kab. Banjar","Astambul","JNE Reguler",53000,"5 - 7 hari"
"BDJ20303","Kab. Banjar","Gambut","JNE Reguler",53000,"5 - 7 hari"
"BDJ20304","Kab. Banjar","Karang Intan","JNE Reguler",53000,"5 - 7 hari"
"BDJ20305","Kab. Banjar","Kertak Hanyar","JNE Reguler",53000,"5 - 7 hari"
"BDJ20306","Kab. Banjar","Pengaron","JNE Reguler",53000,"5 - 7 hari"
"BDJ20307","Kab. Banjar","Simpang Empat","JNE Reguler",53000,"5 - 7 hari"
"BDJ20308","Kab. Banjar","Sungai Tabuk","JNE Reguler",53000,"5 - 7 hari"
"BDJ20309","Kab. Banjar","Sungai Pinang","JNE Reguler",53000,"5 - 7 hari"
"BDJ20310","Kab. Banjar","Aranio","JNE Reguler",53000,"5 - 7 hari"
"BDJ20311","Kab. Banjar","Mataraman","JNE Reguler",53000,"5 - 7 hari"
"BDJ20400","Kab. Tanah Laut","Pelaihari","JNE Reguler",42000,"3 - 5 hari"
"BDJ20401","Kab. Tanah Laut","Bati-Bati","JNE Reguler",53000,"5 - 7 hari"
"BDJ20402","Kab. Tanah Laut","Jorong","JNE Reguler",53000,"5 - 7 hari"
"BDJ20403","Kab. Tanah Laut","Kintap","JNE Reguler",53000,"5 - 7 hari"
"BDJ20404","Kab. Tanah Laut","Kurau","JNE Reguler",53000,"5 - 7 hari"
"BDJ20405","Kab. Tanah Laut","Panyipatan","JNE Reguler",53000,"5 - 7 hari"
"BDJ20406","Kab. Tanah Laut","Takisung","JNE Reguler",53000,"5 - 7 hari"
"BDJ20407","Kab. Tanah Laut","Batu Ampar","JNE Reguler",53000,"5 - 7 hari"
"BDJ20408","Kab. Tanah Laut","Tambang Ulang","JNE Reguler",53000,"5 - 7 hari"
"BDJ20500","Kab. Tampin","Rantau","JNE Reguler",42000,"3 - 5 hari"
"BDJ20501","Kab. Tampin","Bakarangan","JNE Reguler",53000,"5 - 7 hari"
"BDJ20502","Kab. Tampin","Binuang","JNE Reguler",53000,"5 - 7 hari"
"BDJ20503","Kab. Tampin","Bungur","JNE Reguler",53000,"5 - 7 hari"
"BDJ20504","Kab. Tampin","Candi Laras Utara","JNE Reguler",53000,"5 - 7 hari"
"BDJ20505","Kab. Tampin","Candi Laras Selatan","JNE Reguler",53000,"5 - 7 hari"
"BDJ20506","Kab. Tampin","Hatungun","JNE Reguler",42000,"3 - 5 hari"
"BDJ20507","Kab. Tampin","Lokpaikat","JNE Reguler",53000,"5 - 7 hari"
"BDJ20508","Kab. Tampin","Piani","JNE Reguler",53000,"5 - 7 hari"
"BDJ20509","Kab. Tampin","Salam Babaris","JNE Reguler",42000,"3 - 5 hari"
"BDJ20510","Kab. Tampin","Tapin Tengah","JNE Reguler",42000,"3 - 5 hari"
"BDJ20511","Kab. Tampin","Tapin Selatan","JNE Reguler",42000,"3 - 5 hari"
"BDJ20512","Kab. Tampin","Tapin Utara","JNE Reguler",42000,"3 - 5 hari"
"BDJ20700","Kab. Barito Utara","Muara Teweh","JNE Reguler",42000,"3 - 5 hari"
"BDJ20701","Kab. Barito Utara","Gunung Purei","JNE Reguler",53000,"5 - 7 hari"
"BDJ20702","Kab. Barito Utara","Gunung Timang","JNE Reguler",53000,"5 - 7 hari"
"BDJ20703","Kab. Barito Utara","Lahei","JNE Reguler",53000,"5 - 7 hari"
"BDJ20704","Kab. Barito Utara","Montalat","JNE Reguler",53000,"5 - 7 hari"
"BDJ20705","Kab. Barito Utara","Teweh Timur","JNE Reguler",53000,"5 - 7 hari"
"BDJ20706","Kab. Barito Utara","Teweh Tengah","JNE Reguler",53000,"5 - 7 hari"
"BDJ20800","Kab. Barito Timur","Tamiang Layang","JNE Reguler",42000,"3 - 5 hari"
"BDJ20801","Kab. Barito Timur","Awang","JNE Reguler",53000,"5 - 7 hari"
"BDJ20802","Kab. Barito Timur","Benua Lima","JNE Reguler",53000,"5 - 7 hari"
"BDJ20803","Kab. Barito Timur","Dusun Tengah","JNE Reguler",53000,"5 - 7 hari"
